state,cpr_rating,abortions,abortion_rate,abortion_ratio,perc_obtain_by_out_of_state,perc_obtain_by_out_of_state_perc,white,white_perc,black,black_perc,other,other_perc,hispanic,hispanic_perc,married,married_perc,unmarried,unmarried_perc,prev_births_0,prev_births_0_perc,prev_births_1,prev_births_1_perc,prev_births_2,prev_births_2_perc,prev_births_3,prev_births_3_perc,prev_births_4_or_more,prev_births_4_or_more_perc,prev_abortions_0,prev_abortions_0_perc,prev_abortions_1,prev_abortions_1_perc,prev_abortions_2,prev_abortions_2_perc,prev_abortions_3_or_more,prev_abortions_3_or_more_perc,weeks_gestation_less_6,weeks_gestation_less_6_perc,weeks_gestation_7_to_9,weeks_gestation_7_to_9_perc,weeks_gestation_10_13,weeks_gestation_10_13_perc,weeks_gestation_14_15,weeks_gestation_14_15_perc,weeks_gestation_16_17,weeks_gestation_16_17_perc,weeks_gestation_18_20,weeks_gestation_18_20_perc,weeks_gestation_21_or_more,weeks_gestation_21_or_more_perc,surgical_less_than_13_weeks,surgical_less_than_13_weeks_perc,surgical_more_than_13_weeks,surgical_more_than_13_weeks_perc,surgical_unknown,surgical_unknown_perc,medical_less_than_9_weeks,medical_less_than_9_weeks_perc,medical_more_than_9_weeks,medical_more_than_9_weeks_perc,medical_unknown,medical_unknown_perc,intrauterin_instillation,intrauterin_instillation_perc,hysterectomy_hysterotomy,hysterectomy_hysterotomy_perc,x2020_pop,x2020_pop_hisp,x2020_pop_white_non_hisp,x2020_pop_black_non_hisp,x2020_pop_aian_non_hisp,x2020_pop_nhpi_non_hisp,x2020_pop_other_non_hisp,pop_in_millions,previous_abortion_perc,previoss_birth_perc,pretty_previous_abortion_perc,pretty_previoss_birth_perc,pretty_married_perc
Montana,Protected,1568,8,142,169,10.8,NA,82.5,NA,NA,142,9.1,NA,NA,286,18.2,NA,81.8,746,47.6,357,22.8,260,16.6,129,8.2,76,4.8,643,41,622,39.7,199,12.7,104,6.6,599,38.2,628,40.1,211,13.5,51,3.3,34,2.2,34,2.2,11,0.7,524,33.4,128,8.2,0,NA,900,57.4,16,1,0,NA,0,NA,0,NA,1084225,45199,901318,5077,64592,839,4374,1.084225,59.00000000000001,52.400000000000006,59%,52.4%,18.2%
Nebraska,Hostile,2068,5.5,84,267,12.9,NA,NA,NA,NA,NA,NA,NA,NA,306,15,NA,85,819,39.6,445,21.5,429,20.8,216,10.4,158,7.6,NA,69.1,430,20.8,142,6.9,67,3.2,976,47.2,683,33,284,13.7,62,3,46,2.2,16,0.8,0,NA,686,33.2,122,5.9,0,NA,NA,60.2,13,0.6,NA,NA,0,NA,NA,NA,1961504,234715,1484687,94405,15051,1318,6335,1.961504,30.900000000000002,60.3,30.9%,60.3%,15%
Nevada,Protected,8414,14,240,434,5.2,NA,37,NA,18.4,924,12,NA,32.6,NA,NA,NA,NA,NA,42.9,NA,23.2,NA,17.8,790,9.4,567,6.7,NA,62.8,NA,22.3,744,8.8,512,6.1,NA,38.6,NA,42.1,NA,12.9,250,3,142,1.7,89,1.1,52,0.6,NA,55,527,6.3,38,0.5,NA,37.2,51,0.6,37,0.4,NA,NA,NA,NA,3104614,890257,1425952,291960,23392,22970,17171,3.104614,37.2,57.1,37.2%,57.1%,"NA%"
New Hampshire,Not Protected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1377529,59454,1200649,18655,2299,388,5916,1.377529,NA,NA,No Data,No Data,No Data
New Jersey,Expanded Access,22178,13.2,223,NA,5.9,NA,26.7,NA,38.8,NA,16.7,NA,17.8,NA,11.5,NA,88.5,NA,36.9,NA,27.8,NA,19.5,NA,9.5,NA,6.4,NA,60.9,NA,18.9,NA,10.2,NA,10,NA,39.3,NA,34.6,NA,13.5,961,4.4,638,2.9,613,2.8,514,2.4,NA,58.3,NA,12.1,481,2.2,NA,26.6,134,0.6,35,0.2,0,NA,0,NA,9288994,2002575,4816381,1154142,11206,1944,70354,9.288994,39.099999999999994,63.199999999999996,39.1%,63.2%,11.5%
New Mexico,Not Protected,3942,9.9,172,939,23.8,930,27.6,160,4.8,380,11.3,NA,56.3,563,15.3,NA,84.7,NA,42.6,801,22.7,621,17.6,357,10.1,248,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.7,957,27.5,381,10.9,80,2.3,73,2.1,101,2.9,406,11.6,NA,39.9,301,8.6,58,1.7,NA,38.2,338,9.7,65,1.9,NA,NA,NA,NA,2117522,1010811,772952,38330,188610,1451,10340,2.117522,NA,57.4,No Data,No Data,No Data
New York,Expanded Access,78587,20.3,355,NA,8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.5,NA,81.5,NA,45.8,NA,25.5,NA,18.4,NA,6.6,NA,3.7,NA,37.9,NA,24.7,NA,18.8,NA,18.5,NA,44.9,NA,35.3,NA,11.2,NA,2.7,897,1.8,934,1.9,NA,2.2,NA,52.9,NA,8,NA,1.8,NA,31.1,NA,2.8,NA,3.3,24,0,32,0,20201249,3948032,10598907,2759022,54908,6097,197107,20.201249,62,54.2,62%,54.2%,18.5%
North Carolina,Hostile,28450,13.8,240,NA,17.9,NA,30.7,NA,49.2,NA,7.6,NA,12.5,NA,14.4,NA,85.6,NA,37.4,NA,23.9,NA,19.8,NA,10.5,NA,8.5,NA,61.4,NA,23.4,NA,9.9,NA,5.3,NA,33.9,NA,42.8,NA,15.7,982,3.5,672,2.4,484,1.7,15,0.1,NA,45.9,NA,7.4,32,0.1,NA,45.6,190,0.7,36,0.1,0,NA,12,0,10439388,1118596,6312148,2107526,100886,6980,46340,10.439388,38.599999999999994,62.7,38.6%,62.7%,14.4%
North Dakota,Hostile,1121,7.6,107,289,25.8,NA,NA,NA,NA,NA,NA,NA,NA,162,14.5,958,85.5,452,40.3,243,21.7,223,19.9,118,10.5,85,7.6,778,70.7,200,18.2,92,8.4,31,2.8,435,38.8,447,39.9,180,16.1,42,3.7,17,1.5,0,NA,0,NA,698,62.3,59,5.3,NA,NA,361,32.2,NA,NA,0,NA,0,NA,0,NA,779094,33412,636160,26152,37350,869,1853,0.779094,29.400000000000002,59.699999999999996,29.4%,59.7%,14.5%
Ohio,Hostile,20102,9.1,150,NA,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,86,NA,36.1,NA,25.3,NA,21.3,NA,10.4,NA,6.9,NA,59.7,NA,24.2,NA,9.8,NA,6.3,NA,27.5,NA,45.1,NA,17.7,848,4.2,531,2.6,477,2.4,95,0.5,NA,51.5,NA,9.6,NA,NA,NA,38.4,91,0.5,0,NA,0,NA,NA,NA,11799448,521308,8954135,1457180,18949,4493,45217,11.799448,40.3,63.9,40.3%,63.9%,14%
Oklahoma,Hostile,4995,6.4,102,407,8.1,NA,NA,NA,NA,NA,NA,NA,NA,941,18.9,NA,81.1,NA,37.9,NA,24.2,NA,21.1,507,10.2,332,6.7,NA,71.3,975,19.5,304,6.1,155,3.1,NA,43.6,NA,36.8,710,14.2,125,2.5,64,1.3,64,1.3,16,0.3,NA,43.8,263,5.4,NA,NA,NA,50.1,33,0.7,NA,NA,NA,NA,0,NA,3959353,471931,2407188,283242,311890,8168,13602,3.959353,28.700000000000003,62.2,28.7%,62.2%,18.9%
Oregon,Expanded Access,8688,10.5,208,795,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.3,NA,79.7,NA,50.6,NA,20.4,NA,17.4,590,6.8,407,4.7,NA,60.1,NA,23.9,809,9.4,574,6.7,NA,47.2,NA,33.9,949,11,241,2.8,129,1.5,149,1.7,160,1.9,NA,40.2,646,7.4,21,0.2,NA,49.9,133,1.5,51,0.6,NA,NA,NA,NA,4237256,588757,3036158,78658,42042,18197,22962,4.237256,40,49.3,40%,49.3%,20.3%
Pennsylvania,Hostile,31018,13,231,NA,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.2,NA,87.8,NA,37.9,NA,25.6,NA,20.5,NA,9.8,NA,6.2,NA,52.6,NA,24.8,NA,12.3,NA,10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.3,NA,NA,NA,NA,NA,44.6,NA,NA,NA,NA,13002700,1049615,9553417,1368978,15028,3162,54541,13.0027,47.3,62.10000000000001,47.3%,62.1%,12.2%
